time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,position
36.222177028656006,0,0,1,1,2,1,0,-2,1
36.222182512283325,0,0,0,-2,-3,-1,3,4,1
36.23409700393677,2,2,4,6,2,-1,0,-1,1
36.234102964401245,0,-3,-1,-1,0,2,0,1,1
36.24240756034851,-3,-2,-2,-4,-2,-3,-5,-2,1
36.242414712905884,0,1,2,3,4,2,5,0,1
36.25704002380371,1,3,1,3,3,1,0,-2,1
36.25704765319824,-5,-6,-7,-9,-9,-5,-6,-4,1
36.2643187046051,0,0,0,2,-1,0,2,3,1
36.26432466506958,-1,-2,-1,-1,0,-3,-6,-10,1
36.27977919578552,1,1,2,4,0,-1,0,1,1
36.27978444099426,-2,-2,-3,-3,-2,-1,0,0,1
36.28076386451721,1,-1,-1,-3,-4,0,2,5,1
36.28076696395874,-3,-3,-5,-7,-7,-4,-9,-2,1
36.29398798942566,1,1,1,4,4,2,1,2,1
36.29399251937866,2,2,1,4,4,2,1,-1,1
36.30161261558533,1,3,4,5,3,-1,1,-1,1
36.30161786079407,-3,-5,-8,-14,-13,-3,-2,0,1
36.31680417060852,-2,-2,1,1,2,1,-2,-3,1
36.31680965423584,-1,1,-2,1,2,2,1,0,1
36.323899030685425,-2,-1,-3,-4,-3,-4,-3,0,1
36.32390284538269,3,4,5,11,8,1,3,3,1
36.33952522277832,-2,-4,-2,1,3,2,0,-1,1
36.33952975273132,-2,-3,-6,-17,-14,-6,-6,-1,1
36.34053564071655,-2,0,3,3,4,1,-4,-7,1
36.34053993225098,0,-2,0,-1,-2,0,0,0,1
36.35407900810242,2,2,1,3,0,-3,2,5,1
36.354083776474,-2,-1,2,1,4,-1,-2,-4,1
36.36168098449707,-4,-4,-6,-10,-11,-8,-6,-3,1
36.36168622970581,-2,1,1,1,2,-3,2,-3,1
36.376636266708374,-1,-1,-3,-5,-6,-1,3,0,1
36.376641511917114,4,3,5,9,3,-3,-5,2,1
36.38406181335449,-6,-7,-7,-13,-6,1,-3,-3,1
36.38406705856323,-2,2,0,2,2,3,0,0,1
36.399864196777344,2,1,2,4,6,1,3,3,1
36.39987111091614,-1,-4,-3,-3,-2,-1,-3,0,1
36.4013557434082,4,2,2,7,5,0,4,4,1
36.40136122703552,1,-1,-1,-3,-2,-1,-1,-1,1
36.42244601249695,-1,-2,-2,-4,-2,1,-1,-4,1
36.42245173454285,-1,0,-1,-3,-3,-1,1,1,1
36.42456841468811,4,5,4,9,8,3,1,2,1
